name,prefix,F1,IoU,MAE
IA (2059).png,IA,0.16282833181346168,0.08862989487214801,0.5374465584754944
IA (2062).png,IA,0.10275956271328054,0.05416264628021475,0.5358071327209473
IA (2068).png,IA,0.18765453223253625,0.10354236296002568,0.5209288001060486
IA (2076).png,IA,0.24516346099927103,0.13970729213267719,0.4639749228954315
IA (2085).png,IA,0.06403791002841958,0.033078080588530345,0.4793728291988373
IA (2093).png,IA,0.1585690661528713,0.0861118726954303,0.549397885799408
IA (2117).png,IA,0.34951372004168113,0.21176408691534698,0.503387987613678
IA (2120).png,IA,0.04844826251838093,0.024825507614213198,0.5381802320480347
IA (2125).png,IA,0.06331358594091686,0.032691707589469016,0.5708585977554321
IA (2132).png,IA,0.0990955931570181,0.052130760915850505,0.5769096612930298
IA (2134).png,IA,0.09892178145835374,0.05203456674930427,0.5846022963523865
IA (2136).png,IA,0.18303421813148116,0.10073619435103158,0.5655896663665771
IA (2141).png,IA,0.18582281462868808,0.10242815096952909,0.5601516962051392
IA (2149).png,IA,0.40195620173155944,0.2515301534082475,0.5409358143806458
IA (2150).png,IA,0.11207306631148321,0.05936303164684539,0.4690078794956207
IA (2151).png,IA,0.37092994754644837,0.22769428913617842,0.44192054867744446
IA (2161).png,IA,0.5540321030239032,0.38315657227420574,0.5226653814315796
IA (2172).png,IA,0.09221135029354208,0.04833415394715247,0.584225594997406
IA (2179).png,IA,0.024356738673974164,0.012328510491122897,0.5374769568443298
IA (2189).png,IA,0.31464821222606687,0.1866958664111689,0.37375131249427795
IA (2190).png,IA,0.04577386674554463,0.023423014341393274,0.5630240440368652
IA (22).png,IA,0.1338850373304891,0.07174533188403578,0.5468457937240601
IA (2200).png,IA,0.13702798736227836,0.07355343313411611,0.5302395224571228
IA (2204).png,IA,0.10726649558223247,0.05667279378310008,0.5710651278495789
IA (2205).png,IA,0.289600646444161,0.1693175607451529,0.543353796005249
IA (2212).png,IA,0.07458686417117057,0.038738109127453985,0.5524542331695557
IA (2221).png,IA,0.14167241577555478,0.07623651339959009,0.5691283345222473
IA (2227).png,IA,0.4507652897168214,0.2909599731563126,0.5074049830436707
IA (2231).png,IA,0.04962892657434619,0.025445889374875408,0.5489280223846436
IA (2241).png,IA,0.09610787820840408,0.050479686904720676,0.5312125086784363
IA (2253).png,IA,0.0358468968982942,0.018250561446399634,0.5807295441627502
IA (2257).png,IA,0.025671408308477167,0.013002601702932829,0.5573291182518005
IA (2258).png,IA,0.03895053430244481,0.019862086593817715,0.5647053122520447
IA (2272).png,IA,0.11524895414650152,0.061148104626365496,0.5262645483016968
IA (2274).png,IA,0.172190050931417,0.09420566455454615,0.5180197358131409
IA (2275).png,IA,0.11147161066048668,0.05902564731868941,0.561212956905365
IA (2312).png,IA,0.016523608601712408,0.008330630338414963,0.6082209348678589
IA (2337).png,IA,0.09656059922786718,0.05072953685244575,0.5115071535110474
IA (2371).png,IA,0.3513843100316221,0.2131390063613686,0.5308188199996948
IA (2385).png,IA,0.13120376567756387,0.07020763594653433,0.44613227248191833
IA (2401).png,IA,0.0732119930518843,0.037996911330087875,0.4842199981212616
IA (2411).png,IA,0.1413430569940835,0.07604580152671755,0.5440188050270081
IA (2418).png,IA,0.09719659669580069,0.05108073515478255,0.5087099671363831
IA (2430).png,IA,0.07919114573019122,0.04122801993241308,0.5600952506065369
IA (2443).png,IA,0.08994947175011483,0.047092718448936796,0.551144003868103
IA (2454).png,IA,0.03957024091363132,0.02018447268014973,0.5398423671722412
IA (2464).png,IA,0.2596327672165701,0.14918274851758173,0.5556517839431763
IA (2472).png,IA,0.13414339785432192,0.07189373379500928,0.5022733211517334
IA (2473).png,IA,0.10523721627344375,0.05554110370822605,0.5307499170303345
IA (2474).png,IA,0.31444111300581074,0.18655006089199583,0.5152848958969116
IA (2478).png,IA,0.13999185663446337,0.0752641095329611,0.5442559719085693
IA (2481).png,IA,0.22088959015738596,0.12415732544498269,0.5308565497398376
IA (2484).png,IA,0.1630461037192355,0.08875895255147717,0.5595346689224243
IA (2488).png,IA,0.019477895904817612,0.009834727855115886,0.5438787937164307
IA (2490).png,IA,0.04812750078676437,0.024657092513042576,0.5487794876098633
IA (2491).png,IA,0.057634734839996093,0.02967244929354129,0.5371132493019104
IA (2510).png,IA,0.1040283359149056,0.05486808578708623,0.5181396007537842
IA (2513).png,IA,0.22610811787334884,0.1274644301332934,0.5335807204246521
IA (2514).png,IA,0.150872119851109,0.08159096051213117,0.49330222606658936
IA (2516).png,IA,0.18988447833685118,0.10490185629831171,0.5124720931053162
IA (2525).png,IA,0.08700194757770023,0.04547937070167717,0.5335995554924011
IA (2536).png,IA,0.11369910091682095,0.06027622685865413,0.5348782539367676
IA (2554).png,IA,0.02201002844056607,0.011127472210192002,0.5646865963935852
IA (2561).png,IA,0.12919873068828233,0.06906063877956184,0.5290445685386658
IA (2564).png,IA,0.13102349912185174,0.0701044122600202,0.5495092868804932
IA (2577).png,IA,0.11576090798840542,0.061436421990810224,0.5453072190284729
IA (2590).png,IA,0.03790453587105545,0.01931839534009771,0.5409209728240967
IA (2599).png,IA,0.13550335680635578,0.0726755702677243,0.5105039477348328
IA (2601).png,IA,0.30285069857778335,0.17844670373077576,0.5534303188323975
IA (2610).png,IA,0.3095629980939841,0.1831260187424571,0.5141921639442444
IA (2618).png,IA,0.4597348333750262,0.2984777188608351,0.24992133677005768
IA (2633).png,IA,0.10026871533399938,0.0527804727665092,0.5658209323883057
IA (2638).png,IA,0.19699957407202914,0.1092620784993088,0.49756094813346863
IA (2645).png,IA,0.050778182235088426,0.026050489365706756,0.5473933219909668
IA (2665).png,IA,0.06635195384211906,0.0343143903431439,0.5479386448860168
IA (2669).png,IA,0.26903539752155076,0.15542512951237564,0.4911068081855774
IA (2672).png,IA,0.18493280333144047,0.10188757951819793,0.5064077377319336
IA (2682).png,IA,0.10189391957145372,0.05368188881648203,0.5644820928573608
IA (2691).png,IA,0.5921893663776203,0.4206456125806368,0.43890616297721863
IA (2693).png,IA,0.05497221928124583,0.028262948131739133,0.49602216482162476
IA (2696).png,IA,0.04739533571283595,0.024272878468278435,0.466297447681427
IA (2697).png,IA,0.05001803760254494,0.02565051296220658,0.49070069193840027
IA (2701).png,IA,0.1160406634563938,0.06159403826055346,0.500590443611145
